Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-06,Sash Small,0,USTORE,Sash Small
2024-05-06,Shabby Hat,3,USTORE,Shabby Hat
2024-05-06,Tiger Stuff Toy Small Grad,4,USTORE,Tiger Stuff Toy Small Grad
2024-05-06,Tote (One For UST),0,USTORE,Tote (One For UST)
2024-05-06,Tote Bag Canvas White,3,USTORE,Tote Bag Canvas White
2024-05-06,Tote Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-06,Tubler @150,0,USTORE,Tumbler
2024-05-06,Umb (One For UST),0,USTORE,Umb (One For UST)
2024-05-06,Umb Old,0,USTORE,Umb Old @250
2024-05-06,Umb. Cane,0,USTORE,Umb. Cane
2024-05-06,Utensil,0,USTORE,Utensil
2024-05-06,Baller,0,VARSITY LIFE STYLE,Baller
2024-05-06,Caps,0,VARSITY LIFE STYLE,Caps
2024-05-06,Hoodie,0,VARSITY LIFE STYLE,Hoodie
2024-05-06,Keychain,0,VARSITY LIFE STYLE,Keychain
2024-05-06,Lanyard,0,VARSITY LIFE STYLE,Lanyard
2024-05-06,Long Sticker,0,VARSITY LIFE STYLE,Long Sticker
2024-05-06,Oversized Sweatshirt,0,VARSITY LIFE STYLE,Oversized Sweatshirt
2024-05-06,Scarves,0,VARSITY LIFE STYLE,Scarves
2024-05-06,Shirts,0,VARSITY LIFE STYLE,Shirts
2024-05-06,Sticker Pack,0,VARSITY LIFE STYLE,Sticker Pack
2024-05-06,Varsity Jacket,0,VARSITY LIFE STYLE,Varsity Jacket
2024-05-07,Crew Neck Shirt @475,0,BLAZE,Crew Neck Shirt @475
2024-05-07,Polo Shirt @800,0,BLAZE,Polo Shirt @800
2024-05-07,Socks @375,0,BLAZE,Socks @375
2024-05-07,Sublimation Shirt,1,CENTRAL SEMINARY,Subli. Shirt
2024-05-07,OAT Tote Bag (Phased Out),0,JUC,OAT Tote Bag (Phased Out)
2024-05-07,UST College ID Lace,0,JUC,UST College ID Lace
