product_id,item_name,n_obs,n_test,n_test_break,naive_last_MAE,naive_last_RMSE,naive_last_MAPE,naive_last_MAPE_sem,naive_last_MAE_break,naive_mean_MAE,naive_mean_RMSE,naive_mean_MAPE,naive_mean_MAPE_sem,naive_mean_MAE_break,prophet_base_MAE,prophet_base_RMSE,prophet_base_MAPE,prophet_base_MAPE_sem,prophet_base_MAE_break,prophet_reg_MAE,prophet_reg_RMSE,prophet_reg_MAPE,prophet_reg_MAPE_sem,prophet_reg_MAE_break,prophet_tuned_MAE,prophet_tuned_RMSE,prophet_tuned_MAPE,prophet_tuned_MAPE_sem,prophet_tuned_MAE_break,prophet_flatlog_MAE,prophet_flatlog_RMSE,prophet_flatlog_MAPE,prophet_flatlog_MAPE_sem,prophet_flatlog_MAE_break
317,Sticker @120,103,21,0,1.095,1.813,44.1,44.1,,1.472,1.771,82.3,82.3,,32.312,47.095,2053.3,2053.3,,19.415,28.396,1256.9,1256.9,,2.574,3.133,132.4,132.4,,1.732,2.409,73.4,73.4,
332,Thick Lanyard,75,15,0,13.533,18.314,77.3,77.3,,13.094,17.414,96.6,96.6,,120.863,159.254,1321.1,1321.1,,106.13,143.195,1156.3,1156.3,,14.727,19.836,78.7,78.7,,14.104,19.204,67.7,67.7,
342,Tiger Paw Keychain @375,92,18,2,88.889,89.048,3437.2,3727.6,83.5,6.456,6.976,307.8,336.7,6.5,1816.137,2372.597,101853.6,114422.2,110.775,1767.449,2311.149,99189.4,111427.7,108.793,38.77,40.945,1740.8,1920.2,20.17,5.547,6.017,253.5,275.9,6.42
345,Tiger Plushie Small,71,14,0,5.5,12.343,138.7,138.7,,5.841,12.257,167.9,167.9,,6.071,13.599,100.0,100.0,,6.071,13.599,100.0,100.0,,6.045,11.824,183.5,183.5,,4.98,12.321,99.9,99.9,
350,Tiger w/ Box,70,14,3,14.929,24.711,91.5,91.7,39.333,14.827,24.316,109.9,115.7,38.619,16.728,26.491,96.0,94.9,42.333,16.697,26.489,95.4,94.1,42.333,16.603,26.111,159.2,175.3,42.333,15.684,25.656,102.9,104.8,40.996
351,Tote (One For UST),148,30,1,7.7,7.821,512.2,498.9,9.0,2.941,3.195,218.4,211.5,4.186,11.88,20.015,788.5,801.3,4.173,13.511,20.439,874.4,873.7,8.946,2.295,2.675,99.5,100.0,0.852,1.325,1.664,97.0,94.3,1.765
352,Tote (Viva),153,31,0,3.452,6.172,59.9,59.9,,3.887,5.466,176.4,176.4,,5.809,7.26,204.5,204.5,,5.877,7.07,233.6,233.6,,3.655,6.133,90.7,90.7,,3.405,5.452,121.9,121.9,
353,Tote Bag Canvas White,151,30,0,5.933,13.372,51.2,51.2,,13.313,14.83,674.5,674.5,,6.904,13.843,97.0,97.0,,7.379,14.09,144.6,144.6,,6.787,13.813,92.4,92.4,,5.529,12.87,64.1,64.1,
356,Tote Viva Santo Tomas,105,21,3,5.095,13.408,67.0,68.9,2.667,6.134,12.787,170.9,172.0,3.893,572.242,673.48,19238.5,20825.9,275.693,538.471,615.663,17912.8,19108.0,303.79,7.027,14.595,97.9,97.6,4.333,5.852,13.869,77.6,77.6,3.728
358,Travel Mug,86,17,3,0.765,0.939,52.0,58.3,0.667,2.798,2.951,209.0,235.7,2.072,1.627,1.89,82.7,88.5,1.538,1.679,1.96,90.3,88.5,2.621,1.918,2.16,97.7,97.2,2.667,1.345,1.518,99.1,107.3,1.67
