Date,Item,Total Quantity,Supplier,imputation_flag,weight
21/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
21/05/2024,White Tote Bag,2,NAPOLIZ,0,1
21/05/2024,Wind Breaker,3,NAPOLIZ,0,1
21/05/2024,Eco Bag,3,TET AND DARS,0,1
21/05/2024,Main Building,1,TET AND DARS,0,1
21/05/2024,Sticker,1,TET AND DARS,0,1
21/05/2024,Black Lanyard,4,USTORE,1,0.5
21/05/2024,New Keychain,5,USTORE,1,0.5
21/05/2024,Sash Small,1,USTORE,0,1
21/05/2024,Shabby Hat,2,USTORE,0,1
21/05/2024,Tiger Stuff Toy Small Grad,13,USTORE,0,1
21/05/2024,Umb (One For UST),2,USTORE,0,1
21/05/2024,Varsity Lanyard,1,USTORE,1,0.5
21/05/2024,Baller,1,VARSITY LIFE STYLE,0,1
21/05/2024,Caps,1,VARSITY LIFE STYLE,0,1
22/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
22/05/2024,Black Happy Tiger,3,JUC,1,0.5
22/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
22/05/2024,UST T-Shirt Sports,1,JUC,0,1
22/05/2024,UST T-Shirt Tiger Pattern,2,JUC,0,1
22/05/2024,Yellow Happy Tiger,3,JUC,1,0.5
22/05/2024,Jacket,2,JYL,0,1
22/05/2024,Poloshirt 123456,1,JYL,0,1
22/05/2024,Front Tiger Hoodie,1,NAPOLIZ,0,1
22/05/2024,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ,0,1
22/05/2024,University of Santo Tomas (B),5,NAPOLIZ,0,1
22/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
22/05/2024,Eco Bag,2,TET AND DARS,0,1
22/05/2024,Black Lanyard,4,USTORE,1,0.5
22/05/2024,New Keychain,6,USTORE,1,0.5
22/05/2024,Shabby Hat,3,USTORE,0,1
22/05/2024,Tiger Stuff Toy Small Grad,3,USTORE,0,1
22/05/2024,Tote (One For UST),2,USTORE,0,1
22/05/2024,Tote Bag Canvas White,1,USTORE,0,1
22/05/2024,Umb (One For UST),2,USTORE,0,1
22/05/2024,Varsity Lanyard,1,USTORE,1,0.5
22/05/2024,New Keychain,2,VARSITY LIFE STYLE,1,0.5
22/05/2024,Shirts,4,VARSITY LIFE STYLE,0,1
23/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
23/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
23/05/2024,Black Happy Tiger,1,JUC,1,0.5
23/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
23/05/2024,UST OAT T-Shirt Colleges,3,JUC,0,1
