Date,Item,Total Quantity,Supplier
2024-05-20,Keychain,20,USTORE
2024-05-20,Lanyard,10,USTORE
2024-05-20,Sash Small,4,USTORE
2024-05-20,Shabby Hat,1,USTORE
2024-05-20,Tiger Stuff Toy Small Grad,27,USTORE
2024-05-20,Tote (One For UST),2,USTORE
2024-05-20,Tote Bag Canvas White,1,USTORE
2024-05-20,Keychain,5,VARSITY LIFE STYLE
2024-05-20,Lanyard,2,VARSITY LIFE STYLE
2024-05-20,Long Sticker,1,VARSITY LIFE STYLE
2024-05-20,Shirts,1,VARSITY LIFE STYLE
2024-05-20,Sticker Pack,4,VARSITY LIFE STYLE
2024-05-21,Subli. Shirt,1,CENTRAL SEMINARY
2024-05-21,UST Happy Tiger,4,JUC
2024-05-21,UST OAT Hoodie Jacket,2,JUC
2024-05-21,UST OAT T-Shirt,3,JUC
2024-05-21,UST T-Shirt Sports,6,JUC
2024-05-21,UST T-Shirt Tiger Pattern,2,JUC
2024-05-21,GT Shirt,4,JYL
2024-05-21,Poloshirt 3 Colors,1,JYL
2024-05-21,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-21,University of Santo Tomas (B),4,NAPOLIZ
2024-05-21,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-21,White Tote Bag,2,NAPOLIZ
2024-05-21,Wind Breaker,3,NAPOLIZ
2024-05-21,Eco Bag,3,TET AND DARS
2024-05-21,Main Building,1,TET AND DARS
2024-05-21,Sticker,1,TET AND DARS
2024-05-21,Keychain,5,USTORE
2024-05-21,Lanyard,5,USTORE
2024-05-21,Sash Small,1,USTORE
2024-05-21,Shabby Hat,2,USTORE
2024-05-21,Tiger Stuff Toy Small Grad,13,USTORE
2024-05-21,Umb (One For UST),2,USTORE
2024-05-21,Baller,1,VARSITY LIFE STYLE
2024-05-21,Caps,1,VARSITY LIFE STYLE
2024-05-22,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-22,UST Happy Tiger,6,JUC
2024-05-22,UST OAT Hoodie Jacket,1,JUC
2024-05-22,UST T-Shirt Sports,1,JUC
2024-05-22,UST T-Shirt Tiger Pattern,2,JUC
2024-05-22,Jacket,2,JYL
2024-05-22,Poloshirt 123456,1,JYL
2024-05-22,Front Tiger Hoodie,1,NAPOLIZ
2024-05-22,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-22,University of Santo Tomas (B),5,NAPOLIZ
2024-05-22,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-22,Eco Bag,2,TET AND DARS
2024-05-22,Keychain,6,USTORE
2024-05-22,Lanyard,5,USTORE
2024-05-22,Shabby Hat,3,USTORE
2024-05-22,Tiger Stuff Toy Small Grad,3,USTORE
2024-05-22,Tote (One For UST),2,USTORE
2024-05-22,Tote Bag Canvas White,1,USTORE
2024-05-22,Umb (One For UST),2,USTORE
2024-05-22,Keychain,2,VARSITY LIFE STYLE
2024-05-22,Shirts,4,VARSITY LIFE STYLE
2024-05-23,Polo Shirt,1,BLAZE
2024-05-23,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-23,UST Happy Tiger,2,JUC
2024-05-23,UST OAT Hoodie Jacket,1,JUC
2024-05-23,UST OAT T-Shirt Colleges,3,JUC
2024-05-23,UST T-Shirt Sports,3,JUC
2024-05-23,UST T-Shirt Tiger Pattern,1,JUC
2024-05-23,VB Jersey w/o sig.,1,JYL
2024-05-23,University of Santo Tomas (B),2,NAPOLIZ
2024-05-23,Wind Breaker,1,NAPOLIZ
2024-05-23,Keychain,7,USTORE
2024-05-23,Lanyard,6,USTORE
2024-05-23,Sash Small,1,USTORE
2024-05-23,Tiger Stuff Toy Small Grad,7,USTORE
2024-05-23,Tote (One For UST),2,USTORE
2024-05-23,Baller,1,VARSITY LIFE STYLE
2024-05-23,Hoodie,1,VARSITY LIFE STYLE
2024-05-23,Sticker Pack,1,VARSITY LIFE STYLE
2024-05-24,Polo Shirt,2,BLAZE
2024-05-24,Subli. Shirt,4,CENTRAL SEMINARY
2024-05-24,UST Happy Tiger,3,JUC
2024-05-24,UST OAT Hoodie Jacket,2,JUC
2024-05-24,UST OAT T-Shirt Colleges,15,JUC
2024-05-24,UST T-Shirt Sports,2,JUC
2024-05-24,UST T-Shirt Tiger Pattern,1,JUC
2024-05-24,Jacket,2,JYL
2024-05-24,Poloshirt 3 Colors,1,JYL
2024-05-24,VB Jersey w/o sig.,1,JYL
2024-05-24,Side Tiger Hoodie,1,NAPOLIZ
2024-05-24,University of Santo Tomas (B),2,NAPOLIZ
2024-05-24,Arch,1,TET AND DARS
2024-05-24,Eco Bag,1,TET AND DARS
2024-05-24,Mug,5,TET AND DARS
2024-05-24,Eco Bag CGEEE!,1,USTORE
2024-05-24,Keychain,18,USTORE
2024-05-24,Lanyard,5,USTORE
2024-05-24,Sash Small,80,USTORE
2024-05-24,Tiger Stuff Toy Small Grad,4,USTORE
2024-05-24,Tote Bag Canvas White,1,USTORE
2024-05-24,Umb (One For UST),1,USTORE
2024-05-24,Baller,2,VARSITY LIFE STYLE
2024-05-24,Caps,1,VARSITY LIFE STYLE
2024-05-24,Oversized Sweatshirt,1,VARSITY LIFE STYLE
2024-05-27,Polo Shirt,4,BLAZE
2024-05-27,Subli. Shirt,3,CENTRAL SEMINARY
2024-05-27,UST Happy Tiger,6,JUC
2024-05-27,UST OAT Hoodie Jacket,4,JUC
2024-05-27,UST T-Shirt Sports,7,JUC
2024-05-27,UST T-Shirt Tiger Pattern,4,JUC
2024-05-27,Jacket,3,JYL
2024-05-27,VB Jersey w/o sig.,2,JYL
2024-05-27,University of Santo Tomas (B),2,NAPOLIZ
2024-05-27,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-27,White Tote Bag,1,NAPOLIZ
2024-05-27,Arch,1,TET AND DARS
2024-05-27,Eco Bag,2,TET AND DARS
2024-05-27,Keychain,1,TET AND DARS
2024-05-27,Mug,1,TET AND DARS
2024-05-27,Sticker,6,TET AND DARS
2024-05-27,Keychain,10,USTORE
2024-05-27,Lanyard,4,USTORE
2024-05-27,Sash Small,1,USTORE
2024-05-27,Tiger Stuff Toy Small Grad,15,USTORE
2024-05-27,Baller,1,VARSITY LIFE STYLE
2024-05-27,Keychain,2,VARSITY LIFE STYLE
2024-05-27,Long Sticker,2,VARSITY LIFE STYLE
2024-05-27,Scarves,1,VARSITY LIFE STYLE
2024-05-27,Shirts,1,VARSITY LIFE STYLE
2024-05-27,Sticker Pack,1,VARSITY LIFE STYLE
2024-05-28,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-28,UST Happy Tiger,2,JUC
2024-05-28,UST T-Shirt Sports,5,JUC
2024-05-28,UST T-Shirt Tiger Pattern,1,JUC
2024-05-28,GT Shirt,1,JYL
2024-05-28,Jacket,3,JYL
2024-05-28,Poloshirt 123456,1,JYL
2024-05-28,Front Tiger Hoodie,1,NAPOLIZ
2024-05-28,University of Santo Tomas (B),2,NAPOLIZ
2024-05-28,UST Tiger Front and Back Graphic (W),2,NAPOLIZ
2024-05-28,Wind Breaker,1,NAPOLIZ
2024-05-28,Arch,3,TET AND DARS
2024-05-28,Eco Bag,2,TET AND DARS
2024-05-28,Keychain,4,TET AND DARS
2024-05-28,Sticker,5,TET AND DARS
2024-05-28,Keychain,8,USTORE
2024-05-28,Lanyard,6,USTORE
2024-05-28,Sash Small,4,USTORE
2024-05-28,Tiger Stuff Toy Small Grad,14,USTORE
2024-05-28,Tote (One For UST),1,USTORE
2024-05-28,Tote Bag Canvas White,1,USTORE
2024-05-28,Umb (One For UST),3,USTORE
2024-05-28,Keychain,1,VARSITY LIFE STYLE
2024-05-28,Lanyard,1,VARSITY LIFE STYLE
2024-05-28,Sticker Pack,1,VARSITY LIFE STYLE
2024-05-29,UST Happy Tiger,3,JUC
2024-05-29,UST T-Shirt Sports,3,JUC
2024-05-29,Jacket,1,JYL
2024-05-29,Poloshirt 3 Color,1,JYL
2024-05-29,University of Santo Tomas (B),2,NAPOLIZ
2024-05-29,Wind Breaker,4,NAPOLIZ
2024-05-29,Eco Bag,1,TET AND DARS
2024-05-29,Sticker,290,TET AND DARS
2024-05-29,Keychain,3,USTORE
2024-05-29,Lanyard,1,USTORE
2024-05-29,Shabby Hat,1,USTORE
2024-05-29,Tiger Stuff Toy Small Grad,5,USTORE
2024-05-29,Tote Bag Canvas White,290,USTORE
2024-05-29,Caps,1,VARSITY LIFE STYLE
2024-05-30,Subli. Shirt,1,CENTRAL SEMINARY
2024-05-30,UST OAT Hoodie Jacket,1,JUC
2024-05-30,UST OAT T-Shirt Colleges,3,JUC
2024-05-30,UST T-Shirt Happy Tiger,5,JUC
2024-05-30,UST T-Shirt Sports,5,JUC
2024-05-30,UST T-Shirt Tiger Pattern,1,JUC
