Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
APPAREL,13/11/2024,13,White Hoodie w/ gold tiger head,2XL,INSIDE,,1200,3,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,XS,INSIDE,,1200,5,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,Small,INSIDE,,1200,9,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,Small,OUTSIDE,,1200,1,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,Medium,INSIDE,,1200,1,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,Large,INSIDE,,1200,8,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,Large,OUTSIDE,,1200,3,,
APPAREL,13/11/2024,14,White Hoodie w/ black tiger head,2XL,INSIDE,,1200,4,,
APPAREL,13/11/2024,15,White Hoodie w/ Gold TIgers  Lettering,Medium,INSIDE,,1200,9,,
APPAREL,13/11/2024,15,White Hoodie w/ Gold TIgers  Lettering,Medium,OUTSIDE,,1200,2,,
APPAREL,13/11/2024,15,White Hoodie w/ Gold TIgers  Lettering,Large,OUTSIDE,,1200,3,,
APPAREL,13/11/2024,16,Black Hoodie w/ Tigers Lettering,Medium,INSIDE,,1200,8,,
APPAREL,13/11/2024,17,Yellow Hoodie w/ Tigers Lettering,Medium,INSIDE,,1200,14,,
APPAREL,13/11/2024,18,Yellow Hoodie w/ black tiger head,Small,OUTSIDE,,1200,2,,
APPAREL,13/11/2024,18,Yellow Hoodie w/ black tiger head,Medium,OUTSIDE,,1200,7,,
APPAREL,13/11/2024,19,Black Happy Tiger,XS,INSIDE,,450,13,,
APPAREL,13/11/2024,19,Black Happy Tiger,XS,OUTSIDE,,450,1,,
APPAREL,13/11/2024,19,Black Happy Tiger,Small,INSIDE,,450,22,,
APPAREL,13/11/2024,19,Black Happy Tiger,Small,OUTSIDE,,450,5,,
APPAREL,13/11/2024,19,Black Happy Tiger,Medium,INSIDE,,450,10,,
APPAREL,13/11/2024,19,Black Happy Tiger,Medium,OUTSIDE,,450,11,,
APPAREL,13/11/2024,19,Black Happy Tiger,Large,INSIDE,,450,15,,
APPAREL,13/11/2024,19,Black Happy Tiger,Large,OUTSIDE,,450,10,,
APPAREL,13/11/2024,19,Black Happy Tiger,XL,INSIDE,,450,23,,
APPAREL,13/11/2024,19,Black Happy Tiger,XL,OUTSIDE,,450,3,,
APPAREL,13/11/2024,19,Black Happy Tiger,2XL,INSIDE,,450,26,,
APPAREL,13/11/2024,19,Black Happy Tiger,2XL,OUTSIDE,,450,4,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,XS,INSIDE,,450,19,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,XS,OUTSIDE,,450,8,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Small,INSIDE,,450,8,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Small,OUTSIDE,,450,16,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Medium,INSIDE,,450,10,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Medium,OUTSIDE,,450,4,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Large,INSIDE,,450,10,,
APPAREL,13/11/2024,20,Yellow Happy Tiger,Large,OUTSIDE,,450,18,,
