mae,mase_mean,mase_median,mase_trimmed,mase_weighted,mase_global,rmsse_mean,rmsse_median,pct_mase_from_worst10,n_skus,method,subset,mean_density
1.0775193798449612,5.762091812257712,1.3397605855313308,3.5355652773120814,12.674397301023689,0.5732817155769206,1.568834680445761,1.1960273739402,71.68584004192206,82,rolling_q75_30,almost never (<2%),0.6769962892672011
5.997267759562841,8.53830264972779,2.1619226125752755,6.750375295782427,11.610332357014283,1.829971819614516,2.806814677923036,1.6283769082202066,63.64996329553124,61,rolling_q75_30,rare (2-5%),3.4164653261716027
13.907499999999997,6.3249423518438785,2.947671295811281,4.626618249757885,9.937793566349088,1.8956528255989307,2.436329579938474,1.7975800548689636,67.2105628671611,50,rolling_q75_30,occasional (5-10%),7.2253349573690615
28.184848484848484,2.8366675020588086,2.1595320373519864,2.5868308734506646,3.9023005114333658,1.727238675095415,1.7163399762070373,1.5987819474555702,46.699552329082636,55,rolling_q75_30,regular (10-25%),14.629609124128006
94.94940476190474,1.7378556435479042,1.755072377827998,1.705932482926366,2.0042568866877657,1.8998995018731626,1.5415185326359584,1.4272816758482643,79.48000259132601,14,rolling_q75_30,frequent (>25%),35.42717939794676
28.205333583141933,12.079322213301936,2.8468144991415114,5.573199117407159,4.795878746613239,2.79516579659061,3.536336122189311,1.6234473282407251,55.27713554516377,262,sba,ALL,7.250006868572161
73.95291441188432,31.168031489056485,3.712087283909155,5.982981295920031,4.598666276595904,2.9117276031116672,8.108255650629403,1.8380654130700118,89.9413078115634,58,sba,fast movers (F),13.96530723675921
15.448796621281069,6.652140164312896,2.729550657591899,5.458461499150626,5.245127836157685,2.5935946853577754,2.236476648417128,1.530719068557104,24.466164221974243,204,sba,slow movers (S),5.377471188981541
20.409618771192378,26.13512495720233,2.9391248799915797,7.296480358818355,11.119334945712485,4.664182171382142,6.5045255276886484,1.509783112736641,81.45739197691248,82,sba,almost never (<2%),0.6769962892672011
17.97431480738631,8.346173846111913,3.434970809499215,7.795005007526918,9.147328857394749,5.4845791272115045,2.700058323992447,1.8366531923022718,46.268126192273506,61,sba,rare (2-5%),3.4164653261716027
24.161498543896037,6.413985817259576,3.8714224935927684,5.463232144510155,10.174733574185312,3.293317489515799,2.432106425516447,1.892784969086386,55.72493155210109,50,sba,occasional (5-10%),7.2253349573690615
40.45919873722709,3.1250313290689102,2.2844893700646596,2.8526648054804777,4.420457875986826,2.4794418483348424,1.6575471345806703,1.5349555642665944,43.760044242084554,55,sba,regular (10-25%),14.629609124128006
86.97338984288226,1.429253915708582,1.2447511263367264,1.3788444877830688,1.8302732157188744,1.7403026427924446,1.1196428072737048,1.070616207485204,85.01693748477047,14,sba,frequent (>25%),35.42717939794676
16.587092731829575,6.29670296337596,2.1482467991552534,4.027410811837704,4.854408764640729,1.8976068319631778,2.3402507332755498,1.6592396600815147,34.574081507131005,262,seasonal_naive,ALL,7.250006868572161
48.79597701149425,4.143138986559668,1.6198419137601987,3.234984655238094,4.30507472058026,1.9212304790835621,1.9979987345517158,1.4798388717264497,58.67979953413103,58,seasonal_naive,fast movers (F),13.96530723675921
7.605769230769231,6.908990760706082,2.2564094187747012,4.215163660534103,6.105789162281106,1.856754301073755,2.437557674089189,1.7197393915647923,40.46880404964796,204,seasonal_naive,slow movers (S),5.377471188981541
1.3866279069767442,9.160350597120859,2.117466471190202,4.349417768808713,15.083434426737213,0.7383330398269546,2.478166189954519,1.4810734241644181,73.55434588755374,82,seasonal_naive,almost never (<2%),0.6769962892672011
5.8251366120218595,6.490396011414208,2.580259812644203,5.2511724218563245,9.162229827020898,1.7774487104410703,2.540689573813248,2.013449427633874,55.819232573329955,61,seasonal_naive,rare (2-5%),3.4164653261716027
15.771666666666665,5.976436826179764,3.523685892645967,4.749113648716882,9.230114230419284,2.149746861842253,2.4834021647834974,2.0010115043653154,60.847794202088416,50,seasonal_naive,occasional (5-10%),7.2253349573690615
35.14696969696969,3.28038634031024,2.0758551262999707,2.9774406281250076,4.788053946299552,2.153895040650916,1.990735245323677,1.613042402608748,48.4400143471403,55,seasonal_naive,regular (10-25%),14.629609124128006
86.85119047619048,1.6735843370195078,1.550674600404605,1.6671319846943398,1.7998583556970047,1.737857482483235,1.5209609862384454,1.5174143523092527,78.90266228303454,14,seasonal_naive,frequent (>25%),35.42717939794676
14.233115202633961,5.326198191445168,1.8142386509134953,3.634686644549382,4.21709332919961,1.6282852932477425,1.8013026788568345,1.3770875439786985,32.83449306245179,262,tsb,ALL,7.250006868572161
42.372943984367545,3.450470984369978,1.5410955525359964,2.837590688549362,3.767428634693956,1.6683381798481276,1.5721010523964971,1.2243949851131883,57.1361150907042,58,tsb,fast movers (F),13.96530723675921
6.386432176958248,5.859493181692035,1.8283592229570673,3.9210321361099605,5.241427412075756,1.559021568696049,1.8664678471641853,1.3840388311128207,38.33175546944127,204,tsb,slow movers (S),5.377471188981541
1.4689843728473582,7.858427255010203,2.0582816010587717,4.71963996143343,15.258248972526465,0.782308027766069,1.9564633413361894,1.4232434252735755,71.10488526380159,82,tsb,almost never (<2%),0.6769962892672011
5.135498508427593,5.7674719938241,2.1645039408747353,5.199068255071811,7.96860922676134,1.5670165026581888,1.9745214935912654,1.4286332251293246,55.15446338594404,61,tsb,rare (2-5%),3.4164653261716027
13.469648154771692,4.685574934369107,3.3797857195287837,4.040046660999953,7.88720717761285,1.8359717119839212,1.867107499070466,1.7369000233571517,58.64023028565745,50,tsb,occasional (5-10%),7.2253349573690615
28.564029379840004,2.6638702075234724,1.5012033369892335,2.4728625499846566,3.980450760129076,1.7504758376807923,1.4820786820773488,1.1526658120382898,49.94945957292732,55,tsb,regular (10-25%),14.629609124128006
78.70761108513521,1.3189636780200817,1.2210881690165682,1.2897526778357447,1.699432011854476,1.5749077255329094,1.1568424495770306,1.104062641791009,82.54645313929794,14,tsb,frequent (>25%),35.42717939794676
30.98678702835609,8.342996029855911,4.094819887430993,6.708394516720316,5.227103966907185,3.5450940219949407,2.9796690947740183,2.1652847750572075,22.837262701233907,262,lightgbm,ALL,7.250006868572161
92.00417711076219,6.093057057405328,5.022730234539917,5.691714640384674,4.431636065864949,3.622454966452688,2.693277001340727,2.3664793916235003,43.06444276143209,58,lightgbm,fast movers (F),13.96530723675921
13.9723224861467,8.982684561238921,3.8536528482206514,7.160270713999049,7.039176146083497,3.411313223586048,3.061094297808974,2.1354004008914416,27.241502628141795,204,lightgbm,slow movers (S),5.377471188981541
16.345945025298487,12.316172541165862,5.138952336328835,9.497571665538016,18.493983885196737,8.72599718861496,3.4723364380694832,2.0483784331659507,48.32878604788975,82,lightgbm,almost never (<2%),0.6769962892672011
18.710287031726377,9.758805763391708,6.115534412104644,9.009725706476555,11.988335046799355,5.70914946233016,3.4344389106269504,3.1343557805331503,44.787355002632765,61,lightgbm,rare (2-5%),3.4164653261716027
37.26560104402786,7.0020651508784075,5.187644800146111,6.520100704159648,9.686313563677349,5.079463736599237,3.0485293996947145,2.45820712214789,45.69331233583477,50,lightgbm,occasional (5-10%),7.2253349573690615
48.10264771932584,3.808670572233841,2.915754351672942,3.4497480786376578,4.940075676988098,2.9478516998228415,2.1089721629309164,1.8586113525060572,44.276033055287314,55,lightgbm,regular (10-25%),14.629609124128006
84.74863511910192,1.5051086330694383,1.4251810317921354,1.4857009922821278,1.7890784471624697,1.6957861931938467,1.2872144582082206,1.1852803070503106,82.8523737838196,14,lightgbm,frequent (>25%),35.42717939794676
34.24404761904762,8.726847083107078,2.532640513401724,6.269508867659026,9.612640998487123,3.917761315289774,4.672940907500587,2.0342043516906294,25.138668509901915,262,naive,ALL,7.250006868572161
104.19396551724138,8.519731148610758,2.7956768130441647,5.867860287310667,9.208912176197193,4.10240012698489,4.940167562106284,2.2965083967868614,65.29189433505788,58,naive,fast movers (F),13.96530723675921
14.738782051282051,8.78573298605211,2.5046525413587553,6.426843597889613,10.53233337808492,3.5984641839144897,4.596964701779361,1.9810764369103582,28.646193932495407,204,naive,slow movers (S),5.377471188981541
1.6172480620155043,7.998327572920741,1.3397605855313308,4.9159948808446385,14.13299223764003,0.8614747801765098,3.5184175087647738,1.1960273739402,63.87431256349481,82,naive,almost never (<2%),0.6769962892672011
6.647540983606557,10.356337014169375,2.470122314750771,8.25270450404176,13.842076859242852,2.0283924542697576,4.386214319590213,2.0398056226824903,62.6089390263113,61,naive,rare (2-5%),3.4164653261716027
35.17166666666667,12.142580114721902,5.178302205525677,9.027126155315624,19.05887203552437,4.794051360610491,7.177063291874864,4.144022288997455,61.35468518318452,50,naive,occasional (5-10%),7.2253349573690615
64.09545454545454,6.174791052928893,2.552852576414853,5.400911662543111,9.044872266279441,3.9279312801075874,4.60759878753753,2.2454557736122265,55.44999655438547,55,naive,regular (10-25%),14.629609124128006
234.32142857142853,3.720857377359837,3.3480567273680686,3.5817152433078028,5.2346948510900155,4.688677791476596,3.997865045938018,3.0787479514797904,86.29940944929115,14,naive,frequent (>25%),35.42717939794676
23.88524907833721,6.912325797261278,2.2175704816633317,4.783625300361252,6.151071565232391,2.7325981063696534,2.5980074539341667,1.4710796748662571,32.2495669279332,262,random_forest,ALL,7.250006868572161
71.46192784599366,4.933254073186351,2.37568947550629,4.180931108800014,5.315307008835285,2.813650679429014,2.6098118848091816,2.0196455743417348,54.0586876768562,58,random_forest,fast movers (F),13.96530723675921
10.618675191202236,7.475003052145328,2.1020189164487375,5.016177616208084,8.054939337903729,2.592433349941447,2.5946512922147997,1.380693974106098,38.300799180413286,204,random_forest,slow movers (S),5.377471188981541
1.75383745963064,8.890626733413793,1.9793500215521063,4.245373393553347,16.465694260515708,0.9344079378738428,2.2572970645566772,1.2084981379361959,73.49027123939693,82,random_forest,almost never (<2%),0.6769962892672011
7.321662313299513,7.901361468821165,2.7860404967553127,6.1560340264332245,10.80003800278362,2.234089962834741,2.829459843041236,1.9710396882342092,59.0984888594456,61,random_forest,rare (2-5%),3.4164653261716027
23.05597610834225,6.772305758859385,3.969443731840676,5.991114365422672,11.188306715893315,3.1426299663289905,3.183387241474075,2.248333360981137,57.86953816895914,50,random_forest,occasional (5-10%),7.2253349573690615
57.24805402683752,4.30320003115132,2.2046168544754066,3.558785362192255,6.559451164134651,3.508305288292102,2.565156268989073,1.7698413788912468,58.18183408733865,55,random_forest,regular (10-25%),14.629609124128006
103.89878966464403,1.7659733920100813,1.4822053384159881,1.68989882278567,2.248694021208734,2.0789731038764834,1.6235418816775664,1.2835453237111056,85.22801856785227,14,random_forest,frequent (>25%),35.42717939794676
19.452603909557492,5.671106780049074,1.8723655180671683,4.093754807911881,5.2060256448531135,2.225453580719388,2.1268735521184143,1.3224369863698562,28.630874626968343,262,xgboost,ALL,7.250006868572161
59.82250529891524,4.472560135400725,2.0794474001682373,3.8113081686224826,4.779490161684564,2.3553749213452697,2.262884421123226,1.568625496338063,58.63525143618225,58,xgboost,fast movers (F),13.96530723675921
8.19561217598658,6.011870041762821,1.7698001772779564,4.258368514256582,6.17767149186789,2.0007797378505647,2.0882037952444974,1.2998347556154228,34.68677951971666,204,xgboost,slow movers (S),5.377471188981541
1.2991765318828035,6.814012449190271,1.6492465625119022,3.9604010212208087,13.63868236233956,0.6916375785251454,1.6983002222792634,1.1938981647699882,71.70124852662316,82,xgboost,almost never (<2%),0.6769962892672011
6.228543411710261,6.938321729678907,2.0677762305708858,5.890748892088645,9.681727271723998,1.9005419430374526,2.5179455690082295,1.5753679397944036,59.63526862585865,61,xgboost,rare (2-5%),3.4164653261716027
18.39738667649905,5.7412048825855155,3.517855622925831,4.960838958581732,9.689743430657217,2.5076439357858384,2.5553111621514204,1.8962994700335951,57.968342274046115,50,xgboost,occasional (5-10%),7.2253349573690615
46.10413062696794,3.540460336016413,1.7611246470140014,2.9308069550258153,5.426170362473009,2.8253775266295578,2.1471648453130165,1.3193963583158992,55.20256482108455,55,xgboost,regular (10-25%),14.629609124128006
87.65184226984692,1.5755548156188144,1.428587242356467,1.5293689333841662,1.8625966758454764,1.753878203705829,1.3232820084882875,1.145614792897111,83.64953530684942,14,xgboost,frequent (>25%),35.42717939794676
15.007057783930325,7.329998347032078,2.208013047455948,4.383727786028048,4.530160978054432,1.7168330403213343,2.4557975741284044,1.5560949357293232,36.920853433602225,262,logistic_hurdle_per_sku,ALL,7.250006868572161
43.39275402209151,3.5920529238783088,1.691836501507272,2.7717163780495664,3.849110980226035,1.7084908778233954,1.5394479829582626,1.3107173241967236,58.28315229282031,58,logistic_hurdle_per_sku,fast movers (F),13.96530723675921
7.091815563673838,8.392747535967953,2.5848365387604657,5.021488473051185,6.081589705820784,1.7312591976963965,2.7163283402454055,1.692059515680921,41.41356073113222,204,logistic_hurdle_per_sku,slow movers (S),5.377471188981541
2.3208663557224214,13.334937671180278,4.378488980762741,7.9427392409806465,25.092875463337297,1.2371782013033064,3.6030439798960248,2.3037309439176,64.84433739611016,82,logistic_hurdle_per_sku,almost never (<2%),0.6769962892672011
6.085345777838841,6.831289060487419,2.5958677070595124,5.603946749659924,9.273939375926668,1.8568474399527215,2.6472412980980558,1.6785353174343334,54.054993675598716,61,logistic_hurdle_per_sku,rare (2-5%),3.4164653261716027
14.677569102947869,4.963578788995722,3.2341928896878924,3.9997277398356474,8.479975097549922,2.0006165984488007,1.8877682571288108,1.6219079860015144,58.58469192758466,50,logistic_hurdle_per_sku,occasional (5-10%),7.2253349573690615
28.62854591511025,2.6256231786309554,1.4511735722839672,2.4448207852041106,3.8427786583327044,1.7544295738508424,1.4003272544007181,1.186068192486536,49.16406818073909,55,logistic_hurdle_per_sku,regular (10-25%),14.629609124128006
79.47344935762223,1.264130780100015,1.0267643130622686,1.234779678870195,1.7210371860100941,1.590231842161782,1.0772305026933193,1.0223555647193692,82.16318500705255,14,logistic_hurdle_per_sku,frequent (>25%),35.42717939794676
14.477349560309234,5.902941772744756,2.000778115922647,3.7987164191631977,4.3458594584615495,1.6562284542169798,1.9686395141046205,1.3894302380215862,33.01482190841147,262,logistic_hurdle_pooled_cat,ALL,7.250006868572161
43.35291082524826,3.60776470207486,1.6788270893151032,2.812690453744267,3.8472889342566408,1.7069221426766157,1.5693684066203084,1.249353431895122,58.18721999985742,58,logistic_hurdle_pooled_cat,fast movers (F),13.96530723675921
6.425510361432005,6.5554921163665885,2.286863601105833,4.1508521897834045,5.481600793951463,1.5685635198762966,2.0821577701540814,1.4527774611259054,38.18064692088445,204,logistic_hurdle_pooled_cat,slow movers (S),5.377471188981541
1.7471630600680408,9.288178958053209,2.5257239984882407,5.527005763150207,18.67250394383937,0.9308440812031686,2.3260291065318777,1.5506026150279495,67.04004894045356,82,logistic_hurdle_pooled_cat,almost never (<2%),0.6769962892672011
5.422579590394228,6.2208585578844575,2.3418709870533374,5.332109249862166,8.573445528812009,1.6546147742387265,2.2740652037031173,1.793809959608307,51.83133892333224,61,logistic_hurdle_pooled_cat,rare (2-5%),3.4164653261716027
14.495222875605538,4.943198070146048,3.0780522299257447,3.980572039819041,8.476500964782971,1.9757620134336078,1.8932053240859383,1.6713329372996064,59.759818761382654,50,logistic_hurdle_pooled_cat,occasional (5-10%),7.2253349573690615
