item_name,n_sale_days,total_units,mean_units,log_mean_units,cv,active_rate,p90_share,weekday_gini,break_ratio,exam_ratio,log_price,cluster,semantic_category,cluster_label
Poloshirt @800,242,688.0,2.84297520661157,1.3462468599906152,1.8194161028125768,0.48303393213572854,0.4113372093023256,0.2545681063122924,0.6407871198568873,1.1974304765002441,6.68586094706836,0,Shirts & Tops,c0-steady-bursty-mid
Powerbank,14,66.0,4.714285714285714,1.742969305058623,2.767509452233086,0.027944111776447105,0.803030303030303,0.7359307359307359,1.0,0.1746031746031746,7.00397413672268,1,Home & Novelty,c1-steady-bursty-budget-termonly
QUIANA SUBLI SHIRT (B&Y),183,744.0,4.065573770491803,1.6224674127244343,1.3176841840954663,0.3652694610778443,0.4099462365591398,0.1455453149001536,0.5567765567765568,0.8522090154743216,6.2166061010848646,0,Shirts & Tops,c0-steady-bursty-mid
"QUIANA SUBLI SHIRT (B&Y), 2 TONED",101,565.0,5.594059405940594,1.8861691536991296,1.563761517057637,0.20159680638722555,0.431858407079646,0.184070796460177,1.0375,0.753422619047619,6.2166061010848646,0,Shirts & Tops,c0-steady-bursty-mid
S88 UAAP Poloshirt,34,50.0,1.4705882352941178,0.9044562742271522,0.7148638353073283,0.06786427145708583,0.3,0.3314285714285714,0.6571428571428571,0.9857142857142857,6.398594934535208,2,Shirts & Tops,c2-slow-even-mid
Sash Small,20,56.0,2.8,1.33500106673234,1.472993546916911,0.03992015968063872,0.4107142857142857,0.4897959183673469,1.0,0.4358974358974359,5.017279836814924,1,Apparel Accessories,c1-steady-bursty-budget-termonly
Scarf @490,67,232.0,3.462686567164179,1.4957509539997202,1.8384375202720986,0.13373253493013973,0.4698275862068966,0.31403940886699505,0.7288006111535524,1.0932009167303285,6.19644412779452,0,Apparel Accessories,c0-steady-bursty-mid
Scarves,25,51.0,2.04,1.1118575154181303,2.0480968619963855,0.0499001996007984,0.5098039215686274,0.48179271708683474,1.0,0.5706521739130435,5.993961427306569,1,Apparel Accessories,c1-steady-bursty-budget-termonly
Shabby Hat,64,337.0,5.265625,1.8350783439468974,3.5419744712557755,0.1277445109780439,0.6439169139465876,0.5400593471810089,0.7693548387096775,5.0,5.303304908059076,4,Umbrellas & Gear,c4-steady-bursty-mid-exampeak
Shirts,37,132.0,3.5675675675675675,1.5189808022788491,1.6095954445616314,0.07385229540918163,0.5303030303030303,0.38961038961038963,0.5333333333333333,0.6666666666666666,6.55250788703459,1,Shirts & Tops,c1-steady-bursty-budget-termonly
Shirts all @450 UPSIZE (3XL-4XL),107,288.0,2.691588785046729,1.3060569304392156,1.0636625520087526,0.21357285429141717,0.375,0.28273809523809523,0.6477732793522268,1.7489878542510122,6.111467339502679,2,Shirts & Tops,c2-slow-even-mid
Shirts all @450 UPSIZE (3XL-5XL),32,51.0,1.59375,0.9531047049968714,0.44679464436110106,0.06387225548902195,0.23529411764705882,0.3137254901960784,0.641025641025641,1.282051282051282,6.111467339502679,2,Shirts & Tops,c2-slow-even-mid
Shirts all @450 UPSIZE (5XL),37,69.0,1.864864864864865,1.0525211814678428,1.3445191714422613,0.07385229540918163,0.37681159420289856,0.40993788819875776,1.064516129032258,0.8870967741935484,6.111467339502679,2,Shirts & Tops,c2-slow-even-mid
Small Mystery Car,52,125.0,2.4038461538461537,1.2249060139924017,1.7226336426143163,0.10379241516966067,0.456,0.49142857142857144,0.3846153846153846,0.4807692307692307,6.55250788703459,1,Uncategorised,c1-steady-bursty-budget-termonly
Stainless Eco Tumbler,29,125.0,4.310344827586207,1.6696567724271552,1.4369873247278735,0.05788423153692615,0.456,0.26971428571428574,1.0,0.46315789473684216,6.803505257608338,2,Drinkware,c2-slow-even-mid
Sticker @120,123,356.0,2.894308943089431,1.3595162420384979,1.0716181538211726,0.24550898203592814,0.38202247191011235,0.10754414125200643,2.1445147679324896,0.5469814995131451,4.795790545596741,0,Stationery,c0-steady-bursty-mid
Sticker @20,34,145.0,4.264705882352941,1.6610252812245936,1.4013299837458784,0.06786427145708583,0.4689655172413793,0.2187192118226601,1.0,0.22377622377622378,3.044522437723423,0,Stationery,c0-steady-bursty-mid
Sticker @25,16,61.0,3.8125,1.5712166996139025,0.8139252086491533,0.031936127744510975,0.36065573770491804,0.3325526932084309,1.0,1.3235294117647058,3.258096538021482,2,Stationery,c2-slow-even-mid
Sweatshirt (NEW),15,16.0,1.0666666666666667,0.7259370033829362,0.2420614591379636,0.029940119760479042,0.1875,0.30357142857142855,1.0,0.9333333333333333,7.170888478512505,2,Outerwear,c2-slow-even-mid
Taslan NEW,29,32.0,1.103448275862069,0.7435780341868372,0.2808777298169844,0.05788423153692615,0.1875,0.25,0.9166666666666667,1.0694444444444446,7.313886831633462,2,Uncategorised,c2-slow-even-mid
Thick Lanyard,75,497.0,6.626666666666667,2.0316508778434876,1.2433523951664283,0.1497005988023952,0.4426559356136821,0.28513940787582637,1.0007843137254901,0.4873949579831933,4.394449154672439,0,Lanyards & IDs,c0-steady-bursty-mid
