metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
52,216,Lanyard @190,standard,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
53,216,Lanyard @190,standard,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
54,216,Lanyard @190,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
55,221,Logo Sticker @25,standard,walk_forward_30d_aggregate,overall,12,11.75,20.746485646168285,174.36261777438247,14.916666666666666,35.857356288493996,98.5790679908327,1,0.0,2026-07-31,0.6933551274472868,0.8802167930004563
56,221,Logo Sticker @25,standard,walk_forward_30d_aggregate,standard_period,11,12.090909090909092,21.53432777514248,117.95327221797807,16.09090909090909,37.446932147677025,98.22383498854087,1,0.0,2026-07-31,0.7222891982330853,0.9612420156936549
57,221,Logo Sticker @25,standard,walk_forward_30d_aggregate,semestral_break,1,8.000000000000004,8.000000000000004,400.00000000000017,2.0,2.0,100.0,0,,2026-07-31,0.4161849710982661,0.10404624277456648
58,227,MJ Sticker Large,standard,walk_forward_30d_aggregate,overall,12,17.666666666666668,20.668010708983743,58.04098076131295,81.0,101.10967642449789,252.57597594391657,1,0.0,2026-07-31,0.9486923644447423,4.349664991699479
59,227,MJ Sticker Large,standard,walk_forward_30d_aggregate,standard_period,11,16.909090909090903,20.113315354397805,47.55985780022018,70.63636363636364,87.72529437241731,157.35561012063627,1,0.0,2026-07-31,0.9040393199585397,3.77655135273003
60,227,MJ Sticker Large,standard,walk_forward_30d_aggregate,semestral_break,1,26.0,26.0,173.33333333333334,195.0,195.0,1300.0,1,,2026-07-31,1.4670846394984327,11.003134796238244
61,228,MJ Sticker Medium,standard,walk_forward_30d_aggregate,overall,12,32.0,37.90118731649445,60.445570453338945,109.91666666666667,159.78449027779052,159.88769897541667,1,0.0,2026-07-31,0.8871689232758752,3.0473328380231233
62,228,MJ Sticker Medium,standard,walk_forward_30d_aggregate,standard_period,11,32.18181818181818,38.539236205103066,59.74227520529538,102.0909090909091,156.0760304234038,133.92707656822316,1,0.0,2026-07-31,0.889562041146241,2.8219722378735277
63,228,MJ Sticker Medium,standard,walk_forward_30d_aggregate,semestral_break,1,30.000000000000014,30.000000000000014,68.18181818181822,196.0,196.0,445.45454545454544,1,,2026-07-31,0.8598726114649686,5.617834394904459
64,229,MJ Sticker Small,standard,walk_forward_30d_aggregate,overall,12,44.416666666666664,55.821889374449995,105.99806864832644,191.0,268.0481921844155,356.87827240514525,1,0.0,2026-07-31,0.7874106347776128,3.386013461370147
65,229,MJ Sticker Small,standard,walk_forward_30d_aggregate,standard_period,11,42.09090909090909,54.34987664115799,94.422135495144,162.0,233.9576496252726,234.7762971692493,1,0.0,2026-07-31,0.7474278710529932,2.8767094302730754
66,229,MJ Sticker Small,standard,walk_forward_30d_aggregate,semestral_break,1,69.99999999999997,69.99999999999997,233.33333333333326,510.0,510.0,1700.0,1,,2026-07-31,1.2185686653771755,8.878143133462283
67,242,New Clappers,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
68,242,New Clappers,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
69,242,New Clappers,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
70,250,New Tiger Plushie Big,simplified,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
71,250,New Tiger Plushie Big,simplified,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
72,250,New Tiger Plushie Big,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
73,251,New Tiger Plushie Big @850,standard,walk_forward_30d_aggregate,overall,12,8.916666666666666,19.3670682689284,39.26797385620915,18.25,54.29932473490501,280.0,1,0.0,2026-07-31,0.32612557307085005,0.6674906589020202
74,251,New Tiger Plushie Big @850,standard,walk_forward_30d_aggregate,standard_period,11,9.727272727272727,20.228243081934185,39.26797385620915,19.90909090909091,56.713795018977045,280.0,1,0.0,2026-07-31,0.35975115825355236,0.736313118294654
75,251,New Tiger Plushie Big @850,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
76,252,New Tiger Plushie Small,simplified,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
77,252,New Tiger Plushie Small,simplified,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
78,252,New Tiger Plushie Small,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
79,261,Notelet,standard,walk_forward_30d_aggregate,overall,12,86.33333333333333,100.13657340519165,1950.9088550547197,59.916666666666664,86.77125099939495,91.42857142857143,0,0.0,2026-07-31,1.6118358474691952,1.118638971361343
80,261,Notelet,standard,walk_forward_30d_aggregate,standard_period,11,81.45454545454545,95.69268994594577,2123.232061171911,64.9090909090909,90.61707645612137,100.0,0,0.0,2026-07-31,1.5217367835169338,1.2126339993650566
