Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,2XL,OUTSIDE,,1900.0,2.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,10.0,JYL Light Yellow Hoodie,XL,INSIDE,,1900.0,8.0,,,JYL Light Yellow Hoodie
APPAREL,2024-11-13,12.0,Varsity Hoodie,Small,INSIDE,,2100.0,9.0,,,Varsity Hoodie
APPAREL,2024-11-13,12.0,Varsity Hoodie,Medium,INSIDE,,2100.0,5.0,,,Varsity Hoodie
APPAREL,2024-11-13,12.0,Varsity Hoodie,XL,INSIDE,,2100.0,4.0,,,Varsity Hoodie
APPAREL,2024-11-13,12.0,Varsity Hoodie,2XL,INSIDE,,2100.0,3.0,,,Varsity Hoodie
APPAREL,2024-11-13,13.0,White Hoodie w/ gold tiger head,XS,INSIDE,,1200.0,11.0,,,White Hoodie w/ gold tiger head
APPAREL,2024-11-13,13.0,White Hoodie w/ gold tiger head,Small,INSIDE,,1200.0,7.0,,,White Hoodie w/ gold tiger head
APPAREL,2024-11-13,13.0,White Hoodie w/ gold tiger head,2XL,INSIDE,,1200.0,3.0,,,White Hoodie w/ gold tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,XS,INSIDE,,1200.0,5.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,Small,INSIDE,,1200.0,9.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,Small,OUTSIDE,,1200.0,1.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,Medium,INSIDE,,1200.0,1.0,,,White Hoodie w/ black tiger head
APPAREL,2024-11-13,14.0,White Hoodie w/ black tiger head,Large,INSIDE,,1200.0,8.0,,,White Hoodie w/ black tiger head
