fold,origin,origin_date,sku,category,actual_30d,naive_denom,arm,method,yhat,abs_err,sq_err,mase
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,per-SKU,persku_tsb,1.3871814460703485e-07,1.3871814460703485e-07,1.924272364321823e-14,1.0441150669346709e-08
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,per-SKU,persku_ewma_a0.1,1.2469338351873272e-07,1.2469338351873272e-07,1.5548439893349764e-14,9.385523490657302e-09
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,top-down,topdown_RM6_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,252,Plush & Souvenirs,0.0,13.285714285714286,top-down,topdown_tsb,0.0,0.0,0.0,0.0
0,461,2025-08-06,261,Stationery,165.0,36.0,per-SKU,persku_rolling_mean_30,32.0,133.0,17689.0,3.6944444444444446
0,461,2025-08-06,261,Stationery,165.0,36.0,per-SKU,persku_rolling_mean_180,73.50000000000001,91.49999999999999,8372.249999999998,2.541666666666666
0,461,2025-08-06,261,Stationery,165.0,36.0,per-SKU,persku_tsb,6.950504200883581,158.04949579911641,24979.643122354915,4.390263772197678
0,461,2025-08-06,261,Stationery,165.0,36.0,per-SKU,persku_ewma_a0.1,12.655172427930385,152.34482757206962,23208.946487963625,4.2318007658908225
0,461,2025-08-06,261,Stationery,165.0,36.0,top-down,topdown_RM6_180,29.45317243472981,135.54682756527018,18372.942463009087,3.7651896545908383
0,461,2025-08-06,261,Stationery,165.0,36.0,top-down,topdown_rolling_mean_30,17.60701275045537,147.39298724954463,21724.692690344426,4.0942496458206845
0,461,2025-08-06,261,Stationery,165.0,36.0,top-down,topdown_tsb,18.501778966509157,146.49822103349084,21461.728765977536,4.069395028708079
